url,id,cyclomatic_complexity,conditional_statements,physical_lines,non_blank_lines,lines_of_code,statements,if_statements,switch_statements,case_labels,ternary_expressions,loops,catch_clauses,boolean_operators,max_nesting_depth,method_calls,return_statements,throw_statements,break_continue,variable_declarations,distinct_variables,field_variables,parameter_variables,local_variables,unresolved_names,ast_nodes
https://github.com/apache/commons-imaging/blob/d3b3b534198d2b0b631379515e2b53905b425e70/src/main/java/org/apache/commons/imaging/internal/Debug.java#L107-L112,apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-Debug-L107_L112,2,1,6,6,6,5,1,0,0,0,0,0,0,1,11,0,0,0,0,2,0,2,0,1,55
https://github.com/OpenLiberty/ci.common/blob/b48d061d33b28b6dd5d48f52f25e032e3fc45614/src/main/java/io/openliberty/tools/common/plugins/util/DevUtil.java#L2003-L2015,OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L2003_L2015,3,2,13,13,13,11,2,0,0,0,0,0,0,1,8,2,0,0,4,7,2,1,4,0,99
https://github.com/apache/commons-imaging/blob/d3b3b534198d2b0b631379515e2b53905b425e70/src/main/java/org/apache/commons/imaging/formats/icns/IcnsImageParser.java#L240-L265,apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-IcnsImageParser-L240_L265,5,0,26,24,24,19,0,0,0,0,4,0,0,3,29,0,0,0,8,9,1,2,6,2,263
https://github.com/apache/xmlgraphics-commons/blob/d5d782f9fce99774ef206a4a4437fc86f711d9d9/src/main/java/org/apache/xmlgraphics/image/codec/png/PNGImageEncoder.java#L649-L675,apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PNGImageEncoder-L649_L675,6,1,27,24,24,15,0,1,5,0,0,0,0,2,10,0,0,3,3,12,8,0,4,0,123
https://github.com/maven-nar/nar-maven-plugin/blob/e747b5ee080b243e0b817f722a43c9c203bb4df8/src/main/java/com/github/maven_nar/cpptasks/CCTask.java#L1239-L1331,maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-CCTask-L1239_L1331,13,9,93,91,59,40,9,0,0,0,2,0,1,4,34,0,2,0,17,19,0,3,16,0,502
https://github.com/ysc/word/blob/daa57fa34645e39c6e0214d1f4698134963b65be/src/main/java/org/apdplat/word/recognition/StopWord.java#L128-L135,ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-StopWord-L128_L135,3,2,8,8,7,5,2,0,0,0,0,0,0,2,7,0,0,0,1,3,1,0,2,0,40
https://github.com/OpenLiberty/ci.common/blob/b48d061d33b28b6dd5d48f52f25e032e3fc45614/src/main/java/io/openliberty/tools/common/plugins/util/DevUtil.java#L2165-L2201,OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L2165_L2201,6,4,37,34,33,25,3,0,0,1,1,0,0,3,21,0,0,0,7,11,3,1,7,2,206
https://github.com/OpenLiberty/ci.common/blob/b48d061d33b28b6dd5d48f52f25e032e3fc45614/src/main/java/io/openliberty/tools/common/plugins/util/DevUtil.java#L1055-L1075,OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L1055_L1075,8,4,21,21,17,11,4,0,0,0,1,0,2,4,14,0,1,0,3,6,0,2,4,0,132
https://github.com/apache/commons-imaging/blob/d3b3b534198d2b0b631379515e2b53905b425e70/src/main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java#L510-L515,apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-IcoImageParser-L510_L515,4,2,6,6,6,4,2,0,0,0,0,0,1,1,0,0,2,0,0,2,0,0,2,0,33
https://github.com/leonhad/paradoxdriver/blob/de3a6ad18b6c7f1d461383876339dc8086beaead/src/main/java/com/googlecode/paradox/parser/nodes/SelectNode.java#L179-L188,leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-SelectNode-L179_L188,3,1,10,10,10,7,1,0,0,0,1,0,0,2,3,0,0,0,1,3,0,1,2,0,45
https://github.com/wso2/config-mapper/blob/353b0829d3bf3dae92312dea6ff1dddff9a74fe6/src/main/java/org/wso2/config/mapper/Validator.java#L101-L142,wso2-config-mapper-353b0829d3bf3dae92312dea6ff1dddff9a74fe6-Validator-L101_L142,12,9,42,37,37,21,8,0,0,1,2,0,0,5,25,2,1,0,7,14,5,3,6,1,249
https://github.com/apache/commons-imaging/blob/d3b3b534198d2b0b631379515e2b53905b425e70/src/main/java/org/apache/commons/imaging/formats/tiff/TiffReader.java#L446-L477,apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-TiffReader-L446_L477,6,4,32,30,25,21,4,0,0,0,0,0,1,3,12,0,3,0,5,15,7,1,7,0,190
https://github.com/fabric8io/docker-maven-plugin/blob/40371e754a6f3122af6d3019508c364627580935/src/main/java/io/fabric8/maven/docker/model/ImageArchiveManifestEntryAdapter.java#L30-L45,fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-ImageArchiveManifestEntryAdapter-L30_L45,9,4,16,15,15,9,4,0,0,0,2,0,2,3,12,0,0,0,2,5,2,1,2,0,100
https://github.com/3redronin/mu-server/blob/69683cf8009d7a0ac52452fd4b0abe06ffd0bf87/src/main/java/io/muserver/openapi/ParameterObject.java#L39-L53,3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-ParameterObject-L39_L53,10,5,15,15,15,10,5,0,0,0,0,0,4,1,4,0,5,0,0,9,2,7,0,0,112
https://github.com/apache/sling-org-apache-sling-servlets-resolver/blob/75e62e657fc0b2dbbc90287cba23a24116152fce/src/main/java/org/apache/sling/servlets/resolver/internal/bundle/BundledScriptTracker.java#L475-L513,apache-sling-org-apache-sling-servlets-resolver-75e62e657fc0b2dbbc90287cba23a24116152fce-BundledScriptTracker-L475_L513,5,4,39,37,37,24,4,0,0,0,0,0,0,2,52,2,0,0,5,15,1,4,10,6,426
https://github.com/fabric8io/docker-maven-plugin/blob/40371e754a6f3122af6d3019508c364627580935/src/main/java/io/fabric8/maven/docker/config/handler/property/ValueProvider.java#L351-L364,fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-ValueProvider-L351_L364,3,0,14,12,11,9,0,0,0,0,1,1,0,3,9,1,0,0,4,8,1,1,6,1,110
https://github.com/3redronin/mu-server/blob/69683cf8009d7a0ac52452fd4b0abe06ffd0bf87/src/main/java/io/muserver/rest/OpenApiDocumentor.java#L137-L196,3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-OpenApiDocumentor-L137_L196,14,6,60,58,58,33,6,0,0,0,0,0,7,2,84,2,0,0,10,23,1,9,13,2,511
https://github.com/apache/commons-imaging/blob/d3b3b534198d2b0b631379515e2b53905b425e70/src/main/java/org/apache/commons/imaging/formats/tiff/write/AbstractTiffImageWriter.java#L212-L353,apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-AbstractTiffImageWriter-L212_L353,34,25,142,123,111,80,24,1,3,0,3,0,3,6,22,0,15,3,18,19,1,1,17,3,651
