project,parallel_core,parallel_generation,parallel_reduction,parallel_before_tests,parallel_after_tests,coverage_core,coverage_generation,coverage_reduction,coverage_before_tests,coverage_after_tests,mutation_core,mutation_generation,mutation_reduction,mutation_before_tests,mutation_after_tests
unitsofmeasurement-unit-ri-d412fc0b790d7c050dcfb2cba24a4316ece24b5c-DecimalFormat-L1895_L1900,5943,972837,77734,136,8,3859,159480,29,14,2,7473,271961,64928,17,4
unitsofmeasurement-unit-ri-d412fc0b790d7c050dcfb2cba24a4316ece24b5c-DecimalFormat-L1927_L1931,5932,999996,74381,119,10,3955,159296,23,13,2,7577,273179,63100,17,4
unitsofmeasurement-unit-ri-d412fc0b790d7c050dcfb2cba24a4316ece24b5c-DecimalFormat-L1941_L1946,6101,979915,79807,145,10,3894,160397,24,14,2,7533,270324,64768,17,5
vangj-jbayes-4f3a542a4cab356b2b4a3d5d735ae0346429ef2d-Evidence-L259_L263,3168,826072,37528,148,14,2361,149657,24,12,2,5546,154394,29435,12,2
vangj-jbayes-4f3a542a4cab356b2b4a3d5d735ae0346429ef2d-Evidence-L267_L267,3073,859875,27332,57,9,2336,148915,21,6,1,5478,149161,25211,6,1
vangj-jbayes-4f3a542a4cab356b2b4a3d5d735ae0346429ef2d-Table-L40_L51,3176,860539,55164,181,16,2344,150839,24,17,2,5550,344493,42096,25,3
vincentrussell-java-ini-parser-954dd3836aa39dd170202f95e356da1eb86c894d-Ini-L153_L156,2225,156809,24788,4,2,1914,146981,21,3,1,5328,145953,24042,3,1
vizor-games-infraworld-cornerstone-2f8c792393fd8bbfc09d5bfdd36114230f64aa5c-CastGenerator-L242_L252,3808,597684,31847,17,8,2795,697058,39,20,2,6436,348772,31035,15,3
vizor-games-infraworld-cornerstone-2f8c792393fd8bbfc09d5bfdd36114230f64aa5c-NestedTypesRemover-L117_L128,3892,251479,29530,8,5,2751,904438,36,7,2,5970,352613,28720,7,2
vmzakharov-dataframe-ec-b5cef516c1f02207399f751ba922f9e5347f8f3c-DoubleFormatter-L33_L42,6308,132375,29682,11,11,3810,406959,33,11,1,9074,43889,0,0,0
vmzakharov-dataframe-ec-b5cef516c1f02207399f751ba922f9e5347f8f3c-LongFormatter-L33_L43,6222,116075,30609,11,11,3925,393052,37,11,1,8888,43845,0,0,0
wso2-config-mapper-353b0829d3bf3dae92312dea6ff1dddff9a74fe6-KeyMapper-L62_L62,3879,1085246,29989,55,12,3047,163428,19,4,1,6346,163560,27234,4,1
wso2-config-mapper-353b0829d3bf3dae92312dea6ff1dddff9a74fe6-MetaDataParser-L126_L134,3943,919654,34091,70,54,3160,170573,31,23,3,6492,480214,30865,23,3
wso2-config-mapper-353b0829d3bf3dae92312dea6ff1dddff9a74fe6-Validator-L154_L160,3940,980853,49312,135,21,3145,1776512,68,132,3,6426,364870,38663,27,3
xcsp3team-XCSP3-Java-Tools-1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0-ProblemDataHandler-L176_L181,6162,1895975,32252,149,18,3558,394947,78,105,2,10484,409439,30967,110,2
xcsp3team-XCSP3-Java-Tools-1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0-ProblemDataHandler-L186_L192,6688,1602603,32576,147,126,3731,3323836,71,112,1,10444,398379,30644,102,1
xcsp3team-XCSP3-Java-Tools-1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0-XParser-L331_L339,5752,623786,48278,8,5,4472,1482726,57,12,2,7974,339967,44438,10,2
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-ChineseWordTokenizer-L139_L141,4146,1883915,31965,83,7,2808,276884,25,15,2,5985,280465,28995,15,2
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-ChineseWordTokenizer-L148_L150,3997,2014029,33151,109,7,2821,276419,20,15,2,6028,279156,28830,15,2
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-DictionaryFactory-L211_L220,4155,1482045,119605,55,13,2847,398003,53,17,1,6036,650529,107117,17,1
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-DictionaryTools-L101_L113,4119,1885980,60890,118,10,2846,324007,21,25,1,6099,527152,50957,25,2
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-PureEnglish-L82_L88,4131,3747242,46149,137,64,2808,335789,17,21,1,6036,527217,39756,21,3
yuch7-cwlexec-08b3e8ac1017f5a43d4d33699d1c9d4cb32a89e1-IOUtil-L469_L475,4088,810458,176915,86,15,2768,162101,24,19,2,6413,477346,156853,23,6
Zettelkasten-Team-Zettelkasten-b68dc7638b9f9287c9528d4171a9014e8ba3eed3-ImportFromZkn-L621_L638,6593,677699,56295,20,10,4472,197998,27,8,2,9932,334665,55037,10,2
Zettelkasten-Team-Zettelkasten-b68dc7638b9f9287c9528d4171a9014e8ba3eed3-ImportFromZkn-L771_L806,6437,708071,425747,120,117,4652,1645744,41,119,1,9992,846318,354428,14,1
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-Http1Connection-L128_L134,7014,1861420,195419,115,13,4408,4003099,51,117,3,8229,1048007,54429,113,3
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-Http1Connection-L176_L182,7116,550503,189959,30,10,4505,2614973,44,52,3,8194,838106,42020,39,3
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-Http1Connection-L97_L108,7137,1856930,129182,3,2,4454,3899527,45,5,2,8279,506251,48222,4,1
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-MuWebSocketSessionImpl-L219_L220,7116,216631,31554,9,8,4460,1094352,44,11,1,8048,471869,31094,18,2
