project,EXTs_time_all,EXTs_time_success,CONs_time_all,CONs_time_success,EXTr_time_all,EXTr_time_success,CONc_time_all,CONc_time_success,CONrc_time_all,CONrc_time_success,INd_time_all,INd_time_success,INs_time_all,INs_time_success,INr_time_all,INr_time_success
pmlopes-aws-lambda-native-vertx-46ebe9755ea5c0f8473db95e21dc7d0c556ad230-LambdaBootstrap-L119_L127,27183,0,26428,0,27014,0,26577,0,26961,0,32421,0,29805,0,89944,0
remondis-it-pact-consumer-builder-4350f58d646d7aade31dc1caed7fb380b9cd143e-ConsumerBuilderImpl-L241_L242,29892,0,29989,0,29716,0,30254,0,30199,0,34012,0,87360,0,93685,0
streamx-co-ExTree-2cb6b78c0eb4dc25fa81f582641b5464779a93fa-Interpreter-L383_L420,28548,0,28305,0,28565,0,28558,0,28263,0,31669,0,218361,0,32345,0
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L809_L811,42899,0,42958,0,42958,0,43070,0,43055,0,53560,0,202513,0,54014,0
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L815_L820,211157,211654,222690,223182,119345,0,51443,0,659542,0,93513,93768,227982,0,67668,0
SvenEwald-xmlbeam-84a2a91c216622c611a948d88792c846b532aa0a-ExpressionTypeEvaluationVisitor-L136_L152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swtcpro-jingtum-lib-java-793e75b9d350ae7385551191bf0b75b307d05354-Remote-L537_L545,175885,176382,183101,183587,220285,220760,33305,0,155164,0,40540,0,485145,0,110685,0
toolbox4minecraft-amidst-86ffd6004a3ab2a88b9325de420a596665f0df75-FragmentQueueProcessor-L69_L75,191619,192142,1622561,1623100,140821,141334,34930,0,643687,0,45026,0,711490,0,98936,0
vert-x3-vertx-docgen-ec8245f872ba95ca8fdf967edba001fd841cdc35-BaseProcessor-L169_L172,28317,0,28768,0,28572,0,28579,0,28949,0,818921,0,74358,0,91448,0
vmzakharov-dataframe-ec-b5cef516c1f02207399f751ba922f9e5347f8f3c-DataFrame-L1780_L1782,208676,209193,196865,197357,153828,154354,39138,0,640977,0,44248,0,49143,0,107626,0
walmartlabs-gozer-694f2cd0e3341dd2d4eaf61467ef9f91881ddb4d-X12TransactionSplitter-L234_L234,212523,213032,110034,110536,144025,144542,69231,0,1119101,1119630,89867,90165,205091,0,135118,0
yinlou-mltk-f50c42986fdd016e7da38d5e381ed24d8fe87e41-Visualizer-L123_L139,30169,0,30521,0,30599,0,30350,0,30297,0,41447,0,199156,199446,125024,0
