project,new events,unique new events,new events in fragment,unique new events in fragment,new traces,unique new traces,new traces with events in fragment,unique new traces with events in fragment,new violations,new unique violation,new violations in fragment,new unique violation in fragment
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-UserMessages-L154_L163,496,284,312,10,156,43,10,10,0,0,0,0
leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-Scanner-L324_L359,779,7,0,0,6,6,0,0,0,0,0,0
leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-SelectNode-L179_L188,412,170,220,17,109,20,16,6,0,0,0,0
leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-SelectNode-L200_L209,173,81,92,9,48,23,8,6,0,0,0,0
leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-SelectNode-L221_L230,247,105,136,11,59,20,9,5,0,0,0,0
leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-SelectPlan-L175_L185,2629,110,115,1,66,13,1,1,0,0,0,0
leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-TableJoiner-L134_L173,476,122,132,5,78,23,5,5,0,0,0,0
leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-TableJoiner-L99_L121,475,78,83,3,48,14,3,3,0,0,0,0
logpresso-CVE-2021-44228-Scanner-35c37dd6941d6b77d103229302cadd473b97a816-Configuration-L581_L585,60,60,60,1,60,1,1,1,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-AbstractDependencyMojo-L261_L294,1800,114,153,6,49,16,3,3,4,1,4,1
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-AbstractDependencyMojo-L377_L383,1548,39,33,2,27,9,2,2,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-AbstractLdLinker-L130_L192,5326,15,10,8,13,11,8,6,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-AbstractNarMojo-L453_L456,80,7,2,2,7,7,2,2,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-BorlandLinker-L259_L298,1150,65,90,35,37,19,15,7,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-CCTask-L1120_L1128,362,7,2,1,7,6,1,1,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-CCTask-L1239_L1331,359,77,72,2,66,9,2,2,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-CCTask-L1240_L1331,854,18,13,1,18,6,1,1,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-CCTask-L1254_L1351,39487,39,367,4,172,18,4,4,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-CCTask-L515_L549,182,99,138,5,59,19,3,3,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-CCTask-L516_L555,82,31,28,4,25,13,3,3,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-CCTask-L797_L807,756,92,108,3,65,15,3,3,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-CommandLineCompiler-L219_L246,40205,113,37119,9,23477,14,6099,4,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-CommandLineCompiler-L299_L390,5261,17,0,0,14,7,0,0,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-CommandLineLinker-L155_L171,3706,7,0,0,12,6,0,0,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-Compiler-L262_L271,0,0,0,0,0,0,0,0,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-CUtil-L201_L215,360,144,360,1,144,2,1,1,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-GccLinker-L88_L93,102,6,1,1,6,6,1,1,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-GppLinker-L271_L280,237,27,60,3,14,9,1,1,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-GppLinker-L94_L99,148,12,7,2,11,8,2,2,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-IccLinker-L128_L134,1587,39,104,3,34,10,2,2,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-LibrarySet-L124_L147,7816,45,96,2,174,15,2,2,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-Linker-L309_L344,182,6,0,0,7,6,0,0,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-Msvc-L289_L313,626,214,520,2,214,10,2,2,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-Msvc-L463_L484,1012,340,1012,12,340,4,12,2,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-Msvc-L695_L783,1412,161,610,4,117,15,4,4,0,0,0,0
