fragment,smackEvo,kex,smackRC,jdart,jdoop,exliDev,exliEvo,exliRC
hageldave-ezFFTW-20d97041dfde6731bbfc02980cf2b581c62161ec-FFTTest-L209_L220,0,0,0,0,0,0,0,0
Harium-keel-bb6a1cf5104d609399ddf9a803ae60d6caee7a3b-SingularValueDecomposition-L180_L188,9,9,9,0,0,0,10,10
Harium-keel-bb6a1cf5104d609399ddf9a803ae60d6caee7a3b-SingularValueDecomposition-L243_L256,15,13,13,0,8,0,15,15
HelixNetwork-pendulum-919ae1df7ca4359aad6b9a4575beb9d3ca4de8ef-SnapshotServiceImpl-L142_L142,4,3,3,0,0,0,0,0
hermannpencole-nifi-config-e4a8a251bd01fd4026ac4fe6868791f4496ce882-ConnectionsUpdater-L102_L106,8,8,3,0,3,0,8,0
hermannpencole-nifi-config-e4a8a251bd01fd4026ac4fe6868791f4496ce882-ConnectionsUpdater-L111_L115,8,8,3,0,3,0,8,0
hermannpencole-nifi-config-e4a8a251bd01fd4026ac4fe6868791f4496ce882-ConnectionsUpdater-L122_L126,8,8,3,0,3,0,0,0
heroku-heroku-jvm-application-deployer-ffd498f1a94853b30bc0275a6ef495f2ec3a11f7-Main-L110_L117,4,4,4,0,0,0,0,0
hoijui-Jawk-33cfbc2bc14bc9c75fedccbe2963ef26b61543dc-AVM-L563_L584,17,15,0,17,0,0,0,0
hoijui-Jawk-33cfbc2bc14bc9c75fedccbe2963ef26b61543dc-AVM-L849_L862,8,8,10,0,0,0,0,0
hoijui-Jawk-33cfbc2bc14bc9c75fedccbe2963ef26b61543dc-AwkParser-L697_L710,8,8,0,0,0,4,0,0
hummeling-if97-a508c11bea77ebc39d6bf8c7b21854947e07ca96-Region3-L1201_L1206,13,0,13,0,13,12,0,0
hummeling-if97-a508c11bea77ebc39d6bf8c7b21854947e07ca96-Region3-L1209_L1216,16,11,16,0,16,15,15,0
iamazy-elasticsearch-sql2-05a7743fb2bb70816f8255a7e7b3086374b15d8c-BinaryQueryParser-L29_L35,9,3,7,0,0,7,0,0
iamazy-elasticsearch-sql2-05a7743fb2bb70816f8255a7e7b3086374b15d8c-BinaryQueryParser-L85_L89,8,2,6,0,0,6,8,0
iamazy-elasticsearch-sql2-05a7743fb2bb70816f8255a7e7b3086374b15d8c-BinaryQueryParser-L99_L111,7,7,3,0,0,0,0,0
IBlogLab-enhance-gateway-9b175549c6f9228096be92424c712e07686e9e4b-LoggingRecordResource-L169_L174,6,5,5,0,0,0,6,0
iipc-jwarc-e4ff0fe435c378b68b482a3ca1502b70b33fe872-WarcFilterCompiler-L144_L154,9,9,6,0,0,6,0,0
iotaledger-cliri-1f974cafb1c17d96ae7e0a6856f563dcf3794238-Node-L200_L208,6,5,5,0,0,0,0,0
iotaledger-cliri-1f974cafb1c17d96ae7e0a6856f563dcf3794238-Node-L203_L207,6,5,5,0,0,0,0,0
Isaac315-sql-translator-78f3fb0091c94563a640ef672de3e75e2b5c3bb2-OracleSQLDataTypeTransformUtil-L209_L216,8,7,3,0,0,0,0,0
Isaac315-sql-translator-78f3fb0091c94563a640ef672de3e75e2b5c3bb2-OracleSQLDataTypeTransformUtil-L87_L97,11,11,9,11,0,6,10,0
Isaac315-sql-translator-78f3fb0091c94563a640ef672de3e75e2b5c3bb2-OracleToMySqlFunctionTransform-L110_L119,11,11,7,0,0,11,8,0
Isaac315-sql-translator-78f3fb0091c94563a640ef672de3e75e2b5c3bb2-OracleToMySqlFunctionTransform-L117_L117,2,2,2,0,0,3,0,0
jahlborn-jackcess-22bf8a8642c84fc500f5c66ef59de1f7211f93a3-FormatUtil-L1091_L1092,4,4,2,0,0,4,4,0
jahlborn-jackcess-22bf8a8642c84fc500f5c66ef59de1f7211f93a3-FormatUtil-L1099_L1102,5,4,2,0,0,5,5,0
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-BMPImageReader-L470_L492,27,27,16,27,16,0,0,0
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-BMPImageWriter-L679_L684,8,4,4,0,4,8,0,0
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-BMPMetadata-L1006_L1027,27,15,27,27,27,0,17,0
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-BMPMetadata-L952_L960,9,8,5,0,9,0,9,0
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-PNMImageReader-L427_L436,12,12,12,0,10,0,0,0
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-PNMImageReader-L463_L475,16,16,16,0,13,0,0,0
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-PNMImageWriter-L443_L454,11,6,6,0,6,11,0,0
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-RawRenderedImage-L312_L319,20,20,20,20,20,0,0,0
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-RawRenderedImage-L451_L464,16,16,16,16,16,0,0,0
